class,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,lambda,offset
4,4,7,4,5,2,6,7,10,9,7,7,6,3,8,4,8,0.0,
4,6,12,6,6,4,6,8,5,7,9,6,6,5,9,7,5,0.0,
21,5,9,5,4,3,7,6,4,5,6,7,8,5,6,3,7,0.0,
4,5,11,5,8,3,6,7,11,10,7,6,6,3,8,4,8,0.0,
21,2,3,3,2,1,5,8,5,6,9,8,8,3,9,2,6,0.0,
21,6,9,8,8,7,7,6,5,4,6,7,8,7,8,2,7,0.0,
21,3,6,4,4,1,7,4,13,5,7,13,8,3,9,0,8,0.0,
4,4,11,4,8,3,5,7,11,8,7,6,5,3,8,4,8,0.0,
4,4,8,6,6,5,8,8,5,6,10,5,4,3,8,4,8,0.0,
21,5,4,6,7,2,7,4,14,6,7,15,8,3,9,0,8,0.0,
21,4,9,4,7,2,7,5,14,5,7,14,8,3,9,0,8,0.0,
21,2,4,3,3,1,4,8,5,6,11,9,9,3,9,1,7,0.0,
4,6,9,6,4,3,12,2,4,5,12,2,9,4,7,2,10,1.343664858303081e-06,2.119306511636154
4,4,11,5,8,5,5,7,10,7,6,5,6,3,8,3,8,0.0,
4,5,9,5,6,5,5,7,8,6,5,4,6,3,8,4,9,0.0,
4,4,8,6,7,5,5,6,6,7,8,6,8,4,5,6,5,0.0,
21,5,6,6,4,2,4,8,5,8,11,11,9,3,9,1,6,0.0,
4,1,0,1,0,0,6,7,7,5,7,6,6,2,8,3,8,1.958769024582972e-05,2.4488924687704667
21,5,8,5,6,3,3,10,5,6,13,12,9,3,9,1,7,0.0,
21,7,9,7,6,5,4,8,5,8,9,6,9,7,9,6,2,3.090374134731731e-05,1.9017454054186373
21,2,6,3,4,1,8,6,13,5,7,13,8,3,9,0,8,0.0,
21,9,13,8,7,5,8,5,5,5,6,9,8,5,9,3,8,0.0,
4,3,5,4,3,2,8,7,7,8,6,6,3,2,8,3,7,0.0,
4,2,3,3,1,2,7,7,6,6,7,6,5,2,8,3,7,0.0,
4,3,9,5,7,8,9,6,5,5,7,5,5,4,7,11,6,0.0,
21,11,15,10,9,5,9,7,6,6,2,10,6,6,7,3,6,0.0,
4,5,9,7,6,6,8,7,5,6,10,6,5,3,8,4,9,0.0,
4,5,10,6,7,5,5,7,9,7,6,5,4,3,8,5,10,0.0,
4,3,8,4,6,4,7,8,7,6,7,7,5,3,8,3,7,0.0,
21,4,5,5,4,3,6,8,5,7,7,10,10,3,9,1,8,0.0,
4,5,11,5,8,3,5,8,11,9,7,7,5,3,8,4,8,0.0,
21,4,9,6,7,4,7,9,5,7,5,9,9,3,9,1,8,0.0,
