output,X1,X2,X3,X4,X5,beta,offset
116.859,2000,9.9,0.1524,31.7,0.0252785,-1e-07,
119.541,6300,0.0,0.3048,71.3,0.00266337,2.875935497e-08,131.43392240142822
123.311,3150,5.4,0.1524,71.3,0.00401199,-9.99999270729e-08,128.52305446124078
130.43,800,15.4,0.0508,55.5,0.0271925,1e-07,
121.499,5000,2.7,0.1524,39.6,0.00294804,7.20845098826e-08,128.09947847032547
122.235,2000,6.7,0.1016,39.6,0.00578076,-1e-07,
130.558,315,7.2,0.1524,39.6,0.00909175,1e-07,
129.267,1600,0.0,0.0254,31.7,0.000439472,9.9951697409e-08,128.9028590349555
117.154,6300,4.0,0.2286,55.5,0.0042862,4.14911212715e-08,130.6546150007248
120.851,6300,3.3,0.1016,39.6,0.00245138,-1e-07,
120.055,2000,19.7,0.0508,71.3,0.0341183,-1e-07,
120.538,8000,12.7,0.0254,71.3,0.0121808,2.69227928775e-08,138.90731824684144
134.853,630,7.2,0.1524,71.3,0.00752039,1e-07,
128.169,500,7.3,0.2286,31.7,0.0132672,1e-07,
121.514,3150,3.0,0.3048,71.3,0.00425727,-1e-07,
118.955,4000,8.4,0.0508,39.6,0.00566229,-1e-07,
115.234,2500,12.6,0.1524,71.3,0.0483159,-1e-07,
117.741,4000,1.5,0.3048,39.6,0.00392107,-9.96118754907e-08,126.95549410915375
137.047,4000,0.0,0.0254,31.7,0.000439472,1e-07,
130.503,3150,0.0,0.0254,55.5,0.00041229,7.62210539162e-08,129.51121056962012
133.04,2500,0.0,0.1016,55.5,0.00131983,9.99999928176e-08,133.5067107760906
128.354,200,12.6,0.1524,71.3,0.0483159,1e-07,
124.156,1600,0.0,0.0254,39.6,0.000428464,-1e-07,
131.458,2500,6.7,0.1016,71.3,0.00478288,1e-07,
128.762,1250,2.0,0.2286,55.5,0.00313525,-3.32805181108e-08,130.07368466061354
112.945,4000,9.9,0.1524,55.5,0.0208438,-1e-07,
126.835,500,9.9,0.1524,39.6,0.0233328,9.9708297759e-08,127.98252159826457
112.848,8000,4.0,0.2286,71.3,0.00400603,-9.99999923448e-08,129.50956554222108
126.343,1250,4.0,0.3048,39.6,0.00579636,9.91949329291e-08,129.62284429895877
133.235,250,9.9,0.1524,55.5,0.0208438,1e-07,
108.684,4000,19.7,0.0508,39.6,0.036484,-1e-07,
114.453,5000,15.4,0.0508,39.6,0.0282593,2.50671627031e-08,130.32938276815412
134.976,2000,9.5,0.0254,71.3,0.00420654,1e-07,
130.746,800,9.5,0.0254,31.7,0.00461377,1e-07,
126.201,800,0.0,0.3048,71.3,0.00266337,-1e-07,
131.836,2500,0.0,0.0254,39.6,0.000428464,9.99999995232e-08,131.28899173891546
125.398,400,3.0,0.3048,31.7,0.00529514,1.03915522468e-08,126.11841915403679
127.623,2000,0.0,0.0254,55.5,0.00041229,-1e-07,
132.769,1250,3.3,0.1016,55.5,0.002211,1e-07,
133.04,6300,0.0,0.0508,71.3,0.000740478,9.99999012309e-08,132.38578680992126
131.236,2500,4.8,0.0254,39.6,0.000907475,1e-07,
128.879,800,9.9,0.1524,71.3,0.0193001,-5.05117027983e-08,129.50337856942414
126.446,1250,22.2,0.0254,39.6,0.0229028,9.99999678664e-08,132.40260983398557
109.222,12500,1.5,0.3048,71.3,0.00336729,9.99999698723e-08,133.56285035324098
127.054,3150,2.7,0.1524,71.3,0.00243851,-1.54269778679e-08,130.3951071896553
129.977,1600,12.7,0.0254,39.6,0.0130253,1e-07,
132.251,500,5.3,0.2286,39.6,0.00614329,1e-07,
135.329,250,9.9,0.1524,71.3,0.0193001,1e-07,
113.297,16000,0.0,0.1524,71.3,0.0015988,-9.99999944823e-08,117.00113684844972
124.049,1600,0.0,0.3048,39.6,0.00310138,-1e-07,
128.2,1600,15.4,0.0508,55.5,0.0271925,1e-07,
122.797,2000,2.0,0.2286,39.6,0.00346574,-1e-07,
133.924,4000,4.8,0.0254,55.5,0.000873218,1e-07,
127.548,500,3.0,0.3048,31.7,0.00529514,1e-07,
128.265,400,12.3,0.1016,39.6,0.0408268,9.99999925274e-08,129.24282606538384
137.007,3150,0.0,0.0254,71.3,0.000400682,9.99999981383e-08,135.3490146405697
126.045,630,8.4,0.0508,39.6,0.00566229,-1e-07,
128.971,630,5.4,0.1524,71.3,0.00401199,-9.97689598303e-08,128.09506882923097
116.724,10000,2.7,0.1524,71.3,0.00243851,-9.99811788342e-08,128.0447309246063
121.944,6300,2.7,0.1524,71.3,0.00243851,-9.99998325503e-08,129.84707939052583
122.232,4000,2.0,0.2286,55.5,0.00313525,-1.13950829298e-08,129.25036103200915
129.946,1000,8.4,0.0508,71.3,0.00529514,-6.37126856819e-08,130.04059364786744
121.996,4000,17.4,0.0254,31.7,0.0176631,1e-07,
125.398,6300,12.7,0.0254,71.3,0.0121808,1e-07,
129.575,400,4.0,0.3048,71.3,0.00497773,1e-07,
124.086,4000,2.0,0.2286,71.3,0.00293031,5.50722836113e-08,130.59841105794908
135.938,3150,0.0,0.0508,39.6,0.000791822,1e-07,
123.466,3150,17.4,0.0254,31.7,0.0176631,1e-07,
130.156,8000,0.0,0.0508,55.5,0.00076193,4.06131043969e-09,128.99006257629395
130.049,1600,2.7,0.1524,39.6,0.00294804,1e-07,
118.024,8000,0.0,0.2286,71.3,0.00214345,9.75690573198e-08,128.0942679157257
126.349,1000,9.9,0.1524,71.3,0.0193001,-9.99999989533e-08,127.66823852488398
129.057,630,2.0,0.2286,31.7,0.00372371,1e-07,
128.939,400,9.9,0.1524,31.7,0.0252785,1e-07,
128.705,630,0.0,0.2286,39.6,0.00253511,9.99999939227e-08,128.987601358369
117.253,6300,8.9,0.1016,71.3,0.0103088,-9.99999990165e-08,130.85295627403258
134.556,5000,0.0,0.0508,55.5,0.00076193,1e-07,
115.812,5000,8.4,0.0508,55.5,0.00544854,-1e-07,
133.649,1600,3.3,0.1016,55.5,0.002211,1e-07,134.63746033215523
123.189,1250,7.3,0.2286,39.6,0.0123481,-1e-07,
120.786,6300,2.0,0.2286,71.3,0.00293031,-9.99999703844e-08,131.5365419254303
126.266,315,6.7,0.1016,31.7,0.00592927,9.97326214735e-08,126.58734762546048
129.633,2000,0.0,0.1524,39.6,0.00193287,1e-07,
122.101,2000,1.5,0.3048,39.6,0.00392107,-9.99999754509e-08,126.59248774147034
125.472,400,3.0,0.3048,39.6,0.00495741,-5.15364410671e-08,125.92147339314968
124.127,3150,22.2,0.0254,71.3,0.0214178,1e-07,
131.955,3150,0.0,0.1016,71.3,0.00121072,1e-07,
134.319,200,9.9,0.1524,71.3,0.0193001,1e-07,
130.893,1600,7.2,0.1524,71.3,0.00752039,1e-07,
111.588,8000,7.2,0.1524,39.6,0.00909175,-2.29234229956e-08,128.1300558452606
134.498,6300,4.8,0.0254,71.3,0.000848633,1e-07,
128.867,630,12.7,0.0254,39.6,0.0130253,1e-07,
125.319,1600,4.0,0.2286,39.6,0.00473801,-7.0053366305e-09,128.72557242387535
122.527,8000,0.0,0.1524,71.3,0.0015988,-6.68070221835e-08,127.81798391532898
118.343,5000,7.2,0.1524,71.3,0.00752039,-1e-07,
113.525,3150,9.9,0.1524,39.6,0.0233328,-1e-07,
133.846,1600,8.4,0.0508,71.3,0.00529514,1e-07,
130.348,800,12.7,0.0254,71.3,0.0121808,9.9999995703e-08,130.82584482873975
133.649,2000,3.3,0.1016,55.5,0.002211,1e-07,
130.299,500,7.3,0.2286,39.6,0.0123481,1e-07,
121.118,5000,4.0,0.2286,71.3,0.00400603,1e-07,
130.629,3150,3.3,0.1016,55.5,0.002211,1e-07,
130.4,1000,15.4,0.0508,55.5,0.0271925,1e-07,
132.886,800,6.7,0.1016,31.7,0.00592927,1e-07,
123.465,4000,0.0,0.2286,39.6,0.00253511,9.99999981869e-08,129.04794641971588
128.244,2000,0.0,0.2286,71.3,0.00214345,-9.93669671194e-08,129.4880409809351
134.308,5000,0.0,0.0508,39.6,0.000791822,1e-07,
125.997,630,0.0,0.1524,31.7,0.00209405,-9.99999995e-08,126.17825498574229
112.265,4000,9.9,0.1524,39.6,0.0233328,-1e-07,
111.35,10000,5.3,0.2286,71.3,0.0051942,9.99999913622e-08,133.97456893920898
118.365,2500,9.9,0.1524,55.5,0.0208438,-1e-07,
127.763,2500,0.0,0.1524,55.5,0.00172668,9.76920514267e-08,129.2257981930971
108.721,16000,0.0,0.3048,71.3,0.00266337,9.99999998167e-08,131.540073677063
117.927,400,22.2,0.0254,71.3,0.0214178,-1e-07,
119.111,3150,1.5,0.3048,39.6,0.00392107,-9.97638230138e-08,126.39307114338875
132.202,1250,9.5,0.0254,55.5,0.0043284,1e-07,
115.635,4000,15.4,0.0508,31.7,0.0289853,1.51516793325e-08,128.50460661411284
123.965,3150,8.4,0.0508,39.6,0.00566229,9.96617891227e-08,129.55471217274666
121.528,1600,15.6,0.1016,71.3,0.0437259,-1e-07,
131.755,800,4.0,0.3048,71.3,0.00497773,1e-07,
135.803,5000,0.0,0.0254,55.5,0.00041229,1e-07,
116.476,8000,0.0,0.3048,55.5,0.00283081,9.99999932206e-08,131.24324290847778
108.265,10000,0.0,0.3048,31.7,0.00331266,1.83426371338e-09,124.50761450767517
132.43,1000,11.2,0.0508,39.6,0.0150478,1e-07,
127.781,400,5.4,0.1524,31.7,0.00525474,9.99999626897e-08,128.29331063809246
131.346,8000,4.8,0.0254,39.6,0.000907475,9.99999737266e-08,135.96102933502198
122.082,5000,3.3,0.1016,31.7,0.00251435,7.85331389409e-08,127.21827123832703
126.54,1600,11.2,0.0508,39.6,0.0150478,9.99995869297e-08,130.32811310231688
126.79,1600,0.0,0.2286,55.5,0.00229336,-9.99999946921e-08,128.15508879065516
128.264,1600,4.0,0.2286,55.5,0.0042862,1e-07,
131.346,1000,9.5,0.0254,31.7,0.00461377,1e-07,
